food_id,food_name,manufacturer,food_type,species_target
300,로얄캐닌 캣 라이트 웨이트케어,로얄캐닌,건식,고양이
301,오리젠 캣앤키튼 오리지널 캣, 오리젠,건식,고양이
302,더리얼 기호성 좋은 고양이 사료 하림펫푸트(닭고기 어덜트),하림펫푸드,건식,고양이
303,브릿 캣 케어 그레인프리,브릿,건식,고양이
304,밥이보약 고양이 건강고민 별 맞춤 사료 걱정없는 헤어볼,하림펫푸드,건식,고양이
305,힐스 고양이 어덜트 퍼펙트 웨이트,힐스,건식,고양이
306,내추럴발란스 캣 오리지날 울트라 닭&연어,내추럴발란스,건식,고양이
307,퓨리나 캣차우 컴플리트,퓨리나,건식,고양이
308,로얄캐닌 고양이사료 인도어,로얄캐닌,건식,고양이
309,웰니스 캣 고양이사료 코어 그레인프리 인도어,웰니스,건식,고양이
310,지위픽 에어드라이 캣,지위픽,반건식,고양이
311,탐사 고양이 사료 치킨,탐사,건식,고양이
312,오픈팜 캣 원료 100% 공개 동물복지 고양이사료 그레인프리 칠면조&닭고기,오픈팜,건식,고양이
313,카니러브 캣 생육 닭고기와 토끼,카니러브,화식(습식),고양이
314,웰츠 캣 저지방 다이어트,웰츠,건식,고양이
315,맥아담스 캣 방목 홀치킨&칠면조,맥아담스,건식,고양이
316,캐츠랑 전연령 리프레 ,캐츠랑,건식,고양이
317,요세라 캣 고양이사료 내추럴 송어+오리,요세라,건식,고양이
318,나우 그레인프리 캣 프레쉬 고양이사료 어덜트,나우프레쉬,건식,고양이
319,웰츠 캣 어덜트,웰츠,건식,고양이
320,몬지 벳솔루션 레날,몬지,건식,고양이
,,,,
,,,,
,,,,
