food_id,food_name,manufacturer,food_type,species_target
300,인섹트업 하이포알러지 사료(오리지널) 동애등에 강아지 알러지 사료,핏펫,건식,강아지
301,지위픽 에어드라이 소고기 독,지위픽,건식,강아지
302,미니 인도어 어덜트,로얄캐닌,건식,강아지
303,골든 리트리버 퍼피,로얄캐닌,건식,강아지
304,힐스 프리스크립션 다이어트 r/d 반려견용 건사료(치킨),힐스,건식,강아지
305,힐스 프리스크립션 다이어트 메타볼릭 스몰 바이트 반려견용 건사료(치킨),힐스,건식,강아지
306,프로플랜 스몰앤토이 센서티브스킨앤스터먹 ,퓨리나,건식,강아지
307,오리젠 오리지널,오리젠,건식,강아지
308,"힐스 사이언스 다이어트 퍼피 스몰바이트(치킨,밀,보리)",힐스,건식,강아지
309,오리젠 퍼피,오리젠,건식,강아지
310,화이트도그 램 어덜트,네이쳐스프로덱션,건식,강아지
311,코트 케어 파우치,로얄캐닌,습식,강아지
312,미디엄 어덜트  ,로얄캐닌,건식,강아지
313,독 더마컴포트 미디엄,로얄캐닌,건식,강아지
314,오리지널 또는 식스 피쉬,오리젠,건식,강아지
315,나우 프레시 스몰 브리드 퍼피,나우웰,건식,강아지
316,이즈칸 독 져키큐브 양고기,이즈칸,건식,강아지
317,쁘띠 앙뜨레 캐서롤-소고기와 연어,웰니스,습식,강아지
318,컴플리트 헬스 그레인 프리 퍼피,웰니스,건식,강아지
319,코어 퍼피 포뮬라,웰니스,건식,강아지
320,나우 프레쉬 스몰브리드 시니어,나우웰,건식,강아지
,,,,
,,,,
,,,,
