pet_id,user_id,breed_id,name,breed,gender,birth_date,weight_kg
1000,1,16,멍멍이,말티즈,MALE,2019-01-07,6
1001,2,17,강아지,푸들,FEMALE,2016-07-20,7
1002,3,18,강이,믹스견,FEMALE,2022-08-12,10
1003,4,19,아지,포메라니안,MALE,2024-11-10,5
1004,5,20,멍이,비숑,MALE,2023-05-28,9
1005,6,21,두부,시추,MALE,2020-02-24,7
1006,7,22,개,요크셔테리어,FEMALE,2021-10-14,5
1007,8,23,백구,치와와,FEMALE,2021-09-09,6
1008,9,24,황구,골든리트리버,FEMALE,2019-11-27,16
1009,10,25,별,래브라도리트리버,FEMALE,2020-01-23,20
1010,11,26,구름,닥스훈트,MALE,2018-04-27,4
1011,12,27,코코,시베리안허스키,MALE,2023-07-27,23
1012,13,28,망고,시바견,MALE,2017-03-02,14
1013,14,29,초코,보더콜리,FEMALE,2016-10-07,20
1014,15,30,코코코,사모예드,MALE,2024-12-24,21
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
